Month-Yr,Price
9-Jan,0.676
9-Feb,0.66
9-Mar,0.652
9-Apr,0.62
9-May,0.616
9-Jun,0.634
9-Jul,0.641
9-Aug,0.638
9-Sep,0.612
9-Oct,0.592
9-Nov,0.561
9-Dec,0.56
10-Jan,0.563
10-Feb,0.555
10-Mar,0.557
10-Apr,0.553
10-May,0.571
10-Jun,0.585
10-Jul,0.593
10-Aug,0.621
10-Sep,0.597
10-Oct,0.579
10-Nov,0.568
10-Dec,0.582
11-Jan,0.603
11-Feb,0.611
11-Mar,0.636
11-Apr,0.653
11-May,0.693
11-Jun,0.685
11-Jul,0.717
11-Aug,0.755
11-Sep,0.735
11-Oct,0.683
11-Nov,0.686
11-Dec,0.666
12-Jan,0.676
12-Feb,0.673
12-Mar,0.68
12-Apr,0.69
12-May,0.675
12-Jun,0.676
12-Jul,0.672
12-Aug,0.652
12-Sep,0.645
12-Oct,0.625
12-Nov,0.625
12-Dec,0.621
13-Jan,0.627
13-Feb,0.636
13-Mar,0.611
13-Apr,0.619
13-May,0.636
13-Jun,0.646
13-Jul,0.704
13-Aug,0.756
13-Sep,0.746
13-Oct,0.688
13-Nov,0.675
13-Dec,0.667
14-Jan,0.688
14-Feb,0.684
14-Mar,0.678
14-Apr,0.672
14-May,0.678
14-Jun,0.685
14-Jul,0.696
14-Aug,0.689
14-Sep,0.671
14-Oct,0.669
14-Nov,0.641
14-Dec,0.636
15-Jan,0.668
15-Feb,0.646
15-Mar,0.639
15-Apr,0.645
15-May,0.646
15-Jun,0.647
15-Jul,0.668
15-Aug,0.661
15-Sep,0.65
15-Oct,0.655
15-Nov,0.633
15-Dec,0.637
16-Jan,0.659
16-Feb,0.659
16-Mar,0.652
16-Apr,0.652
16-May,0.679
16-Jun,0.688
16-Jul,0.699
16-Aug,0.711
16-Sep,0.702
16-Oct,0.691
16-Nov,0.697
16-Dec,0.686
17-Jan,0.696
17-Feb,0.703
17-Mar,0.689
17-Apr,0.698
17-May,0.706
17-Jun,0.733
17-Jul,0.752
17-Aug,0.75
17-Sep,0.745
17-Oct,0.748
17-Nov,0.733
17-Dec,0.731
18-Jan,0.73
18-Feb,0.736
18-Mar,0.727
18-Apr,0.728
18-May,0.739
18-Jun,0.744
18-Jul,0.765
18-Aug,0.768
18-Sep,0.75
18-Oct,0.746
18-Nov,0.725
18-Dec,0.718
