State,2010,2011,2012,2013,2014,2015,2016,2017
Arizona,280,280,225,280,310,290,(NA),(NA)
California,411,414,416,425,470,393,403,428
Colorado,389,392,377,372,388,393,389,382
Delaware,275,250,255,280,290,(D),(NA),(NA)
Florida,250,256,244,240,240,230,235,250
Idaho,384,404,412,415,415,405,430,435
Illinois,350,330,380,370,415,380,380,410
Kansas,335,280,350,350,340,335,300,380
Maine,290,265,275,290,290,320,325,320
Maryland,340,300,380,310,380,330,(D),365
Massachusetts,285,275,330,260,285,305,(NA),(NA)
Michigan,360,345,350,360,370,390,370,370
Minnesota,405,355,400,385,400,400,400,405
Missouri,300,170,300,300,270,305,305,285
Montana,325,330,320,310,320,325,335,340
Nebraska,415,400,445,460,470,450,450,475
Nevada,(D),(D),380,(D),(D),(D),(NA),(NA)
New Jersey,230,190,280,230,225,(D),(D),300
New Mexico,(D),(D),460,(D),(D),(D),(NA),(NA)
New York,320,250,285,290,275,280,240,280
North Carolina,195,170,200,240,210,210,220,230
North Dakota,275,245,300,290,310,345,300,330
Ohio,290,270,220,280,280,230,(NA),(NA)
Oregon,565,585,550,545,580,560,590,550
Pennsylvania,245,260,260,290,275,280,(NA),(NA)
Rhode Island,275,250,250,260,245,135,(NA),(NA)
Texas,323,297,372,460,335,375,395,395
Virginia,170,200,250,210,250,220,290,265
Washington,660,610,585,600,615,590,625,605
Wisconsin,395,415,460,420,410,445,435,425
Other States 2/,392,439,(NA),457,420,366,315,-
United States,401,399,409,414,421,418,433,431
