State,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,
,"(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
Arizona,1036,1064,833,952,1085,1015,(NA),(NA)
California,13763,15232,15501,14369,15557,13808,13305,15936
Colorado,22971,22853,22365,20304,23196,22575,22236,21220
Delaware,440,400,408,392,348,(D),(NA),(NA)
Florida,7950,9112,8917,7080,7032,6808,5382,7175
Idaho,112970,128760,141820,131131,132880,130400,139320,134850
Illinois,2205,2244,2812,2479,2656,2622,2622,3116
Kansas,1474,1484,1820,1505,1394,1206,1260,1558
Maine,15892,14310,15675,15660,14645,16160,15113,15200
Maryland,714,660,836,651,874,792,(D),913
,,,,,,,,
Massachusetts,1083,770,1287,1014,1026,1098,(NA),(NA)
Michigan,15660,15180,15925,15840,15725,17550,17020,17205
Minnesota,17010,16685,18800,17325,16400,16200,16800,18428
Missouri,2160,1207,2670,2700,2133,2471,2410,2423
Montana,3673,3795,3744,3441,3616,3543,3685,3774
Nebraska,7719,7800,10369,8418,7943,6885,7380,9025
Nevada,(D),(D),2698,(D),(D),(D),(NA),(NA)
New Jersey,391,342,644,552,428,(D),(D),510
New Mexico,(D),(D),2852,(D),(D),(D),(NA),(NA)
New York,5120,4050,4703,4959,4345,4144,3552,4032
,,,,,,,,
North Carolina,2925,2805,3200,3240,2835,2667,2992,3473
North Dakota,22000,18865,25200,22620,23870,27600,21600,24420
Ohio,609,459,308,504,420,276,(NA),(NA)
Oregon,20058,23342,22935,21582,22562,21784,22951,21395
Pennsylvania,2205,2028,2236,1914,1430,1484,(NA),(NA)
Rhode Island,165,150,150,130,123,81,(NA),(NA)
Texas,5143,5487,7478,8142,6901,6825,7742,8493
Virginia,952,1180,1200,819,1125,1034,1189,1193
Washington,88440,97600,95940,96000,101475,100300,105625,99220
Wisconsin,24293,25938,29440,26040,26240,27813,27840,28475
,,,,,,,,
Other States 2/,5252,5845,(NA),4889,3906,4064,1387,-
,,,,,,,,
United States,404273,429647,462766,434652,442170,441205,441411,442034
