,Year,Month,Price,USD Value,Inflation Rate
0,2009,Jan,0.6759999999999999,$32.44,-1.89%
1,2009,Feb,0.66,$32.44,-1.89%
2,2009,Mar,0.652,$32.44,-1.89%
3,2009,Apr,0.62,$32.44,-1.89%
4,2009,May,0.616,$32.44,-1.89%
5,2009,Jun,0.634,$32.44,-1.89%
6,2009,Jul,0.6409999999999999,$32.44,-1.89%
7,2009,Aug,0.638,$32.44,-1.89%
8,2009,Sep,0.612,$32.44,-1.89%
9,2009,Oct,0.5920000000000001,$32.44,-1.89%
10,2009,Nov,0.561,$32.44,-1.89%
11,2009,Dec,0.56,$32.44,-1.89%
12,2010,Jan,0.563,$30.76,-5.19%
13,2010,Feb,0.555,$30.76,-5.19%
14,2010,Mar,0.557,$30.76,-5.19%
15,2010,Apr,0.5529999999999999,$30.76,-5.19%
16,2010,May,0.5710000000000001,$30.76,-5.19%
17,2010,Jun,0.585,$30.76,-5.19%
18,2010,Jul,0.593,$30.76,-5.19%
19,2010,Aug,0.621,$30.76,-5.19%
20,2010,Sep,0.597,$30.76,-5.19%
21,2010,Oct,0.579,$30.76,-5.19%
22,2010,Nov,0.568,$30.76,-5.19%
23,2010,Dec,0.5820000000000001,$30.76,-5.19%
24,2011,Jan,0.603,$34.48,12.09%
25,2011,Feb,0.611,$34.48,12.09%
26,2011,Mar,0.636,$34.48,12.09%
27,2011,Apr,0.653,$34.48,12.09%
28,2011,May,0.693,$34.48,12.09%
29,2011,Jun,0.685,$34.48,12.09%
30,2011,Jul,0.7170000000000001,$34.48,12.09%
31,2011,Aug,0.755,$34.48,12.09%
32,2011,Sep,0.735,$34.48,12.09%
33,2011,Oct,0.6829999999999999,$34.48,12.09%
34,2011,Nov,0.6859999999999999,$34.48,12.09%
35,2011,Dec,0.6659999999999999,$34.48,12.09%
36,2012,Jan,0.6759999999999999,$32.64,-5.33%
37,2012,Feb,0.6729999999999999,$32.64,-5.33%
38,2012,Mar,0.68,$32.64,-5.33%
39,2012,Apr,0.69,$32.64,-5.33%
40,2012,May,0.675,$32.64,-5.33%
41,2012,Jun,0.6759999999999999,$32.64,-5.33%
42,2012,Jul,0.672,$32.64,-5.33%
43,2012,Aug,0.652,$32.64,-5.33%
44,2012,Sep,0.645,$32.64,-5.33%
45,2012,Oct,0.625,$32.64,-5.33%
46,2012,Nov,0.625,$32.64,-5.33%
47,2012,Dec,0.621,$32.64,-5.33%
48,2013,Jan,0.627,$32.85,0.65%
49,2013,Feb,0.636,$32.85,0.65%
50,2013,Mar,0.611,$32.85,0.65%
51,2013,Apr,0.619,$32.85,0.65%
52,2013,May,0.636,$32.85,0.65%
53,2013,Jun,0.6459999999999999,$32.85,0.65%
54,2013,Jul,0.7040000000000001,$32.85,0.65%
55,2013,Aug,0.7559999999999999,$32.85,0.65%
56,2013,Sep,0.746,$32.85,0.65%
57,2013,Oct,0.688,$32.85,0.65%
58,2013,Nov,0.675,$32.85,0.65%
59,2013,Dec,0.667,$32.85,0.65%
60,2014,Jan,0.688,$33.62,2.33%
61,2014,Feb,0.684,$33.62,2.33%
62,2014,Mar,0.6779999999999999,$33.62,2.33%
63,2014,Apr,0.672,$33.62,2.33%
64,2014,May,0.6779999999999999,$33.62,2.33%
65,2014,Jun,0.685,$33.62,2.33%
66,2014,Jul,0.696,$33.62,2.33%
67,2014,Aug,0.6890000000000001,$33.62,2.33%
68,2014,Sep,0.6709999999999999,$33.62,2.33%
69,2014,Oct,0.669,$33.62,2.33%
70,2014,Nov,0.6409999999999999,$33.62,2.33%
71,2014,Dec,0.636,$33.62,2.33%
72,2015,Jan,0.6679999999999999,$33.30,-0.95%
73,2015,Feb,0.6459999999999999,$33.30,-0.95%
74,2015,Mar,0.639,$33.30,-0.95%
75,2015,Apr,0.645,$33.30,-0.95%
76,2015,May,0.6459999999999999,$33.30,-0.95%
77,2015,Jun,0.647,$33.30,-0.95%
78,2015,Jul,0.6679999999999999,$33.30,-0.95%
79,2015,Aug,0.6609999999999999,$33.30,-0.95%
80,2015,Sep,0.65,$33.30,-0.95%
81,2015,Oct,0.655,$33.30,-0.95%
82,2015,Nov,0.633,$33.30,-0.95%
83,2015,Dec,0.637,$33.30,-0.95%
84,2016,Jan,0.659,$33.92,1.87%
85,2016,Feb,0.659,$33.92,1.87%
86,2016,Mar,0.652,$33.92,1.87%
87,2016,Apr,0.652,$33.92,1.87%
88,2016,May,0.679,$33.92,1.87%
89,2016,Jun,0.688,$33.92,1.87%
90,2016,Jul,0.6990000000000001,$33.92,1.87%
91,2016,Aug,0.711,$33.92,1.87%
92,2016,Sep,0.7020000000000001,$33.92,1.87%
93,2016,Oct,0.691,$33.92,1.87%
94,2016,Nov,0.6970000000000001,$33.92,1.87%
95,2016,Dec,0.6859999999999999,$33.92,1.87%
96,2017,Jan,0.696,$34.52,1.75%
97,2017,Feb,0.703,$34.52,1.75%
98,2017,Mar,0.6890000000000001,$34.52,1.75%
99,2017,Apr,0.698,$34.52,1.75%
100,2017,May,0.706,$34.52,1.75%
101,2017,Jun,0.733,$34.52,1.75%
102,2017,Jul,0.752,$34.52,1.75%
103,2017,Aug,0.75,$34.52,1.75%
104,2017,Sep,0.745,$34.52,1.75%
105,2017,Oct,0.748,$34.52,1.75%
106,2017,Nov,0.733,$34.52,1.75%
107,2017,Dec,0.731,$34.52,1.75%
108,2018,Jan,0.73,$34.81,0.84%
109,2018,Feb,0.736,$34.81,0.84%
110,2018,Mar,0.727,$34.81,0.84%
111,2018,Apr,0.728,$34.81,0.84%
112,2018,May,0.7390000000000001,$34.81,0.84%
113,2018,Jun,0.7440000000000001,$34.81,0.84%
114,2018,Jul,0.765,$34.81,0.84%
115,2018,Aug,0.768,$34.81,0.84%
116,2018,Sep,0.75,$34.81,0.84%
117,2018,Oct,0.746,$34.81,0.84%
118,2018,Nov,0.725,$34.81,0.84%
119,2018,Dec,0.718,$34.81,0.84%
